Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1646.4823423333385
FDW14,OUT017,1556.397383000006
NCN55,OUT010,501.79126666666883
FDQ58,OUT017,1670.659759666664
FDY38,OUT027,6147.5300303333415
FDH56,OUT046,1837.835481666671
FDL48,OUT018,626.711991666667
FDC48,OUT027,1556.5150076666596
FDN33,OUT045,1360.3337086666695
FDA36,OUT017,2563.9680583333366
FDT44,OUT017,1609.776788333335
FDQ56,OUT045,1771.213314333336
NCC54,OUT019,858.8531486666659
FDU11,OUT049,1764.839389
DRL59,OUT013,875.4393363333357
FDM24,OUT049,2727.964585333327
FDI57,OUT045,3834.095854000003
DRC12,OUT018,2887.559064666664
NCM42,OUT027,2742.006307333336
FDA46,OUT010,440.811754333334
FDA31,OUT013,2991.583656666659
NCJ31,OUT035,4066.9949133333294
FDG52,OUT046,750.1013766666672
NCL19,OUT019,362.2584510000001
FDS10,OUT035,3430.2548640000077
FDX22,OUT010,711.146528333332
NCF19,OUT035,722.072306333336
NCE06,OUT046,2123.108588333336
DRC27,OUT046,3418.7931169999915
FDE21,OUT035,2162.988898666664
NCR42,OUT019,48.870829666666566
FDX51,OUT018,2400.157955333332
NCR06,OUT018,486.31363599999946
FDU31,OUT027,5694.408743666685
FDU59,OUT017,2391.292828333335
FDR03,OUT027,5054.700336000027
FDS49,OUT027,1545.327348333329
FDD48,OUT010,200.5556049999996
NCF18,OUT017,3215.0361236666713
NCD43,OUT027,2088.862055666662
NCD54,OUT018,1874.4833330000001
FDY19,OUT010,233.39397066666677
NCY54,OUT017,2336.36543799999
NCL19,OUT018,2207.133657999996
FDP23,OUT010,519.3761543333331
FDC26,OUT013,1882.9944763333315
FDR14,OUT010,162.44077433333362
NCS41,OUT035,3178.909815666669
FDF41,OUT035,4186.247460999995
FDU34,OUT046,2257.3527326666635
DRH11,OUT046,971.2324209999999
FDM03,OUT013,2218.465573999996
FDS31,OUT017,3249.2404890000194
FDJ20,OUT017,1834.158046333341
FDV44,OUT027,4686.518484333326
FDG02,OUT049,2887.5180070000074
FDA09,OUT013,3248.4470773333433
FDT04,OUT013,498.7485606666667
FDL58,OUT019,507.97210999999913
FDE52,OUT045,1431.7085783333373
FDW12,OUT035,2722.7946483333335
FDL51,OUT017,2975.5545216666706
NCY42,OUT027,2786.840169666658
FDR07,OUT017,1678.0212883333343
FDN40,OUT045,2715.904727999995
FDB35,OUT027,2491.3093043333415
FDA22,OUT017,2529.9734199999994
NCL06,OUT046,4481.1946416666615
FDI35,OUT013,4012.7255553333252
NCW42,OUT045,4035.292846333331
NCX06,OUT049,3206.7036366666784
FDC37,OUT027,2162.5772123333386
FDZ14,OUT018,1839.9405193333316
DRG49,OUT049,4886.657964333315
NCG06,OUT045,3299.397422333335
DRC36,OUT045,3201.9686890000044
FDV21,OUT019,412.8758959999982
FDB53,OUT046,3259.1997473333317
DRP47,OUT019,847.5633999999994
FDA14,OUT013,2301.6739289999996
DRC24,OUT035,2918.3778369999914
FDW21,OUT018,1543.4464633333362
NCH29,OUT046,1974.0503940000012
FDU58,OUT013,3398.5128490000143
FDY27,OUT017,2291.7035739999983
FDV56,OUT035,1469.4172710000018
FDT59,OUT046,4435.3609696666645
FDB23,OUT046,3369.601593666669
FDR49,OUT045,854.2025356666653
FDB03,OUT010,766.0972216666667
FDN39,OUT045,2887.0586049999974
FDX02,OUT027,5501.634121333355
FDQ16,OUT027,2710.252086000006
FDU35,OUT018,1596.378673
NCT29,OUT013,2108.5886000000028
FDZ27,OUT046,815.2865256666684
FDN57,OUT017,2292.152989
FDA03,OUT018,2171.1948836666684
FDZ36,OUT045,3147.1001110000057
NCU05,OUT013,973.756912666667
FDT39,OUT018,2128.8943903333325
FDK60,OUT017,1975.1767056666695
FDZ25,OUT017,3090.814488666674
FDG12,OUT046,2556.99380333334
DRB01,OUT019,493.8305179999993
NCC43,OUT027,5201.929799666698
FDX13,OUT019,454.6781490000002
FDM22,OUT049,740.3929030000013
FDJ03,OUT027,1696.5349669999944
FDU14,OUT018,4515.471135333337
FDB33,OUT010,363.7243206666669
FDP27,OUT046,3497.2143700000024
FDO38,OUT010,167.32219800000027
FDE28,OUT027,6096.832689333352
FDO27,OUT035,1463.0322490000035
DRL23,OUT027,1959.456058000002
FDS28,OUT046,937.7282553333374
FDX24,OUT013,1200.4462773333394
FDZ02,OUT035,1636.6573536666692
FDL46,OUT045,1558.6644319999998
FDS60,OUT027,4428.1614523333155
NCO06,OUT017,495.6714549999984
FDO16,OUT035,1611.9295416666632
FDC60,OUT049,1711.5387699999985
FDA48,OUT018,3911.380808333341
FDZ36,OUT027,3255.1494640000055
FDK27,OUT045,1696.0134236666663
FDW23,OUT018,566.3760859999993
FDM14,OUT018,1485.4452963333304
FDM14,OUT013,1476.6190076666674
FDW60,OUT018,2534.025922666669
FDE21,OUT013,1972.8508443333355
NCM42,OUT035,1674.8875896666664
FDY59,OUT010,180.38963266666653
DRI49,OUT049,1422.858986666667
FDT28,OUT019,256.97660666666644
FDQ22,OUT018,484.7490060000016
FDR60,OUT049,1062.3482606666662
FDC50,OUT019,242.13148600000096
FDV24,OUT013,2572.9963063333307
DRF48,OUT010,405.4866256666645
FDQ47,OUT046,665.2618116666648
DRN36,OUT049,1584.109088666669
NCY06,OUT035,2283.3832933333324
FDE52,OUT035,1470.6889490000058
NCB54,OUT045,1848.4028373333385
NCF31,OUT035,2284.8680273333334
FDJ08,OUT027,3840.193472333337
NCC07,OUT017,1362.2600900000027
NCD19,OUT027,1160.6292180000028
FDL46,OUT049,2004.8647276666657
FDM20,OUT045,4442.074452999992
NCI06,OUT010,417.3489623333351
DRM11,OUT035,4266.231124666671
NCH07,OUT018,2131.8694066666676
FDS23,OUT013,2348.623925666669
FDO49,OUT018,660.0596943333323
FDS35,OUT049,1007.0568996666648
DRK39,OUT045,1155.8010583333369
DRI39,OUT049,708.5243860000007
FDV04,OUT017,1796.0210223333263
NCN14,OUT035,3457.856712666663
FDH08,OUT013,3598.4381633333187
FDS20,OUT046,2892.638009000002
FDV40,OUT049,1071.6716799999988
FDZ48,OUT010,204.35621333333285
FDS24,OUT027,1988.3129396666645
FDK44,OUT049,2255.313165333328
FDS48,OUT045,2419.703623999994
FDK26,OUT010,541.4296696666668
FDD23,OUT045,2836.5743200000015
NCH54,OUT017,2879.243222666675
NCP14,OUT010,177.7719290000002
FDM60,OUT010,64.31295099999996
FDV24,OUT017,2553.0411706666623
FDH08,OUT018,3751.109432333328
FDS12,OUT027,3169.3234053333404
FDR39,OUT027,4820.937956000007
FDP12,OUT027,1037.5871586666651
DRF60,OUT027,5285.2779726666495
FDC09,OUT035,1500.2338240000017
FDF50,OUT018,3434.3328889999893
FDG28,OUT035,3657.8308523333353
NCE19,OUT017,861.1235266666681
NCM53,OUT010,220.24220133333384
NCN18,OUT049,1471.9750526666621
FDF32,OUT035,2646.9023256666605
FDF11,OUT013,2746.5836823333348
DRI59,OUT049,3865.7690696666623
NCG54,OUT035,2708.9227053333248
FDM44,OUT046,1472.2125213333318
FDT57,OUT018,2726.195776666661
FDV24,OUT046,2452.736181333336
FDI50,OUT019,596.8996869999996
FDS09,OUT035,714.4721993333352
NCC31,OUT027,3941.934370333322
FDQ07,OUT019,516.4998983333335
FDC22,OUT017,3295.5113696666695
FDZ56,OUT046,2958.753058666665
FDZ40,OUT019,191.92128866666602
FDS46,OUT027,3105.256800333326
DRD24,OUT045,1752.1359250000041
FDV45,OUT017,3175.7350593333367
FDL26,OUT045,3117.811568999995
FDA56,OUT018,1640.9584216666626
FDN27,OUT046,1718.076925999999
FDM20,OUT049,5258.863467333323
FDO16,OUT017,2067.40443133332
FDL03,OUT035,2884.8647939999896
